Sadness Phrases
"Мне до сих пор больно вспоминать, как он ушел. Это невыносимо."
"Мне до сих пор больно вспоминать, как он ушел. Каждый день как испытание."
"Мне до сих пор больно вспоминать, как он ушел. Я больше так не могу."
"Мне до сих пор больно вспоминать, как он ушел. Каждый день как испытание."
"Мне до сих пор больно вспоминать, как он ушел. Каждый день как испытание."
"Мне до сих пор больно вспоминать, как он ушел. Я больше так не могу."
"Мне до сих пор больно вспоминать, как он ушел. Каждый день как испытание."
"Мне до сих пор больно вспоминать, как он ушел. Это невыносимо."
"Мне до сих пор больно вспоминать, как он ушел. Я больше так не могу."
"Мне до сих пор больно вспоминать, как он ушел. Я больше так не могу."
"Мне до сих пор больно вспоминать, как он ушел. Каждый день как испытание."
"Мне до сих пор больно вспоминать, как он ушел. Каждый день как испытание."
"Мне до сих пор больно вспоминать, как он ушел. Я больше так не могу."
"Мне до сих пор больно вспоминать, как он ушел. Каждый день как испытание."
"Мне до сих пор больно вспоминать, как он ушел. Это невыносимо."
"Мне до сих пор больно вспоминать, как он ушел. Это невыносимо."
"Мне до сих пор больно вспоминать, как он ушел. Каждый день как испытание."
"Мне до сих пор больно вспоминать, как он ушел. Каждый день как испытание."
"Мне до сих пор больно вспоминать, как он ушел. Это невыносимо."
"Мне до сих пор больно вспоминать, как он ушел. Это невыносимо."
"Мне до сих пор больно вспоминать, как он ушел. Это невыносимо."
"Мне до сих пор больно вспоминать, как он ушел. Каждый день как испытание."
"Мне до сих пор больно вспоминать, как он ушел. Каждый день как испытание."
"Мне до сих пор больно вспоминать, как он ушел. Это невыносимо."
"Мне до сих пор больно вспоминать, как он ушел. Я больше так не могу."
"Мне до сих пор больно вспоминать, как он ушел. Я больше так не могу."
"Мне до сих пор больно вспоминать, как он ушел. Я больше так не могу."
"Мне до сих пор больно вспоминать, как он ушел. Каждый день как испытание."
"Мне до сих пор больно вспоминать, как он ушел. Каждый день как испытание."
"Мне до сих пор больно вспоминать, как он ушел. Я больше так не могу."
